Name	gene	snp	xi_mean_fraction_pxgl_siScr	dp_mean_pxgl_siScr	xi_mean_fraction_pxgl_siSPEN_1	dp_mean_pxgl_siSPEN_1	pval	sd_1	sd_2
1	ALG13	111760130	0.20906432748538	14	0.310117302052786	23	0.296642658713168	0.0416858989163253	0.125662048249358
2	BCOR	40073654	0.277677223554239	239	0.317608299873702	240	0.14715095345559	0.0300400823449061	0.00226667077799075
3	CA5BP1-CA5B	15702622	0.37027027027027	38	0.492914653784219	47	0.160119228265364	0.101378374775735	0.0544852440549139
4	CD99L2	150766627	0.376377217553688	26	0.387157287157287	24	0.892170271434516	0.0904030253436977	0.0924486553251544
5	CDK16	47229341	0	361	0	411	NA	NA	NA
6	CDKL5	18630909	0.467206956288703	52	0.426596886741814	36	0.508782796841563	0.0244720085683997	0.087167184336428
7	CHIC1	73683411	0.0101010101010101	26	0.0606060606060606	21	0.493524799149407	0.0174954627027159	0.104972776216296
8	CHM	85861890	0.287885304659498	23	0.455681818181818	19	0.0952219887600389	0.0467143769459734	0.106254557510422
9	CHM	85964016	0.412655570550307	30	0.442929292929293	25	0.613719213952668	0.0576107361572344	0.0760046476113444
10	CTPS2	16589265	0.157788410419989	15	0.292034762622998	17	0.317174879651158	0.13736875837597	0.149993424279561
11	DDX3X	41338289	0.426455026455026	44	0.480985340741438	35	0.518576693494971	0.107484268899242	0.0771881599686864
12	DDX3X	41338449	0.42140768588137	58	0.499166615726308	56	0.0579090685884692	0.0250223935149761	0.0403118273793666
13	DDX3X	41339462	0.489221419561977	36	0.490643274853801	29	0.990066784832403	0.056449186751967	0.16982540717976
14	DDX3X	41339955	0.35326278659612	28	0.430237358101135	28	0.454086011735812	0.061943942137738	0.140388168117027
15	DDX3X	41340373	0.409841954022989	31	0.45737556561086	33	0.547243536765593	0.114327444608742	0.0157132845541634
16	DDX3X	41340559	0.420748705694942	40	0.543121693121693	39	0.168476947911267	0.0734945081759642	0.0997172032205266
17	DDX3X	41341905	0.481481481481481	25	0.371212121212121	21	0.263538778239564	0.0320750149549792	0.125172057892866
18	DDX3X	41342906	0.403263403263403	43	0.453667953667954	33	0.271969657028334	0.0544302770575087	0.040171142947268
19	DDX3X	41343476	0.390103728623493	35	0.505574136008919	31	0.336449962618216	0.159713100587382	0.0304849697076373
20	DDX3X	41343866	0.382192537364951	34	0.515891778303126	29	0.258497293703129	0.00581790195557812	0.148217991796553
21	DDX3X	41344423	0.542246642246642	14	0.611305361305361	12	0.685696661292955	0.239135606246433	0.120163961480464
22	DDX3X	41344625	0.655336257309941	18	0.512215320910973	17	0.132048624350271	0.0877215825725957	0.0972309280784586
23	DDX3X	41344665	0.385470085470085	21	0.412625238183048	19	0.703990204918754	0.0466027551460362	0.101576385592565
24	DDX3X	41344803	0.388888888888889	19	0.457264957264957	20	0.40262599967055	0.0962250448649376	0.0817360062005776
25	DLG3	70504881	0.302090737456947	143	0.386691136702088	136	0.0873570747743444	0.0106089655523687	0.0482999745962603
26	DMD	31120472	0.0901270043990351	65	0.0890188434048083	46	0.981794955459009	0.0567098988753665	0.0550861925644464
27	EDA2R	66595749	0.383040935672515	20	0.394838035527691	25	0.908584219634076	0.0605792632214276	0.150167097153061
28	EDA2R	66595975	0.352573933491808	86	0.416881018949984	98	0.381199366013494	0.0914514570577065	0.0641622083051745
29	EDA2R	66597680	0.328571428571429	23	0.406418219461698	29	0.376271582397881	0.106665603736201	0.0818989105840399
30	EDA2R	66597898	0.481537324464154	37	0.504989495798319	36	0.792050696316279	0.10414042237195	0.0996111152462143
31	EDA2R	66605144	0.391793046965461	29	0.497564479955144	29	0.299867454853256	0.0360567352923907	0.132767205475528
32	EOLA2	149938169	0.390382819794585	40	0.453091177868117	35	0.31870928324903	0.0720331057069222	0.0622024474540579
33	ERCC6L	72204868	0.27961943853449	100	0.385185185185185	75	0.199685394750186	0.040645861201319	0.09958762710925
34	FAAH2	57392766	0	21	0.0573099415204678	19	0.203331016209984	0	0.0532517073114957
35	FAAH2	57393245	0.0011037527593819	266	0.00345957431612028	279	0.327999456593908	0.00191175585824379	0.00302029173909029
36	FAAH2	57393339	0.00740740740740741	58	0	63	0.422649730810374	0.0128300059819917	0
37	FAAH2	57393376	0.0148026315789474	61	0.0299975562072336	66	0.472803640030672	0.0156897894969892	0.0282486086185517
38	FAAH2	57394129	0.00343642611683849	90	0.00294985250737463	89	0.919727337959272	0.00595206463082088	0.00510929441760731
39	FAAH2	57394767	0	61	0.0116323417238749	59	0.207123282745045	0	0.0109495630968387
40	FAM120C	54071487	0.524784568852365	56	0.493197278911565	44	0.48766545045481	0.0320874998197289	0.061507283401446
41	FANCB	14845014	0.377095516569201	47	0.421519839817037	44	0.190389767447203	0.0267609095254074	0.0393061527612209
42	FLNA	154349351	0.414623655913978	27	0.318222712959555	27	0.309592978233639	0.116603570470842	0.0789064948378077
43	FMR1	147949906	0.306311548943346	393	0.417038521238156	288	0.0278486453678827	0.0356952895543834	0.00820175945189816
44	FMR1	147950018	0.285042487036854	475	0.387393599429451	309	0.00573392777224923	0.0136005560494189	0.0233000170453435
45	GABRQ	152654676	0.124864138780066	65	0.298906704457155	86	0.00582172850330517	0.0386305228269221	0.0406282679944941
46	GABRQ	152656399	0.145396045396045	74	0.25205155643577	90	0.0064464955828217	0.0248201264099669	0.0138602991577697
47	GRIPAP1	48991085	0.26184668989547	35	0.372811447811448	28	0.169813221704006	0.079612531244635	0.0828499653397243
48	GYG2	2882583	0.186868686868687	22	0.32752909904578	41	0.104248881466805	0.0903814654958247	0.0271006529125007
49	GYG2	2882636	0.223934018051665	21	0.357264505520319	37	0.112933790341936	0.0106082956533796	0.0859374161109089
50	HCCS	11122997	0.486131037780966	46	0.541241184249192	63	0.207713206251979	0.0147771540463705	0.0529786503717797
51	HDAC8	72329662	0.188076416337286	22	0.353979353979354	19	0.226626780669929	0.0883066081562502	0.168082722129833
52	HTATSF1	136511470	0.319245832135671	139	0.396852627780862	121	0.144008583644222	0.0594486047234487	0.0166230472433958
53	HUWE1	53543227	0	29	0	26	NA	NA	NA
54	HUWE1	53614686	0.54959915502225	98	0.616146211743477	113	0.0985390817685137	0.0188600549404881	0.042848823559762
55	IGSF1	131276991	0.0253920426731487	54	0.0346031746031746	34	0.741856630703686	0.0134475496819558	0.0410776967841609
56	INTS6L	135582183	0.107293818528524	32	0.12501517911354	46	0.652267571022525	0.0521801187051012	0.0341598455000345
57	KLHL15	23986503	0.282000618798612	70	0.39305976856533	76	0.0394797866763258	0.0471120746700487	0.0427356284492703
58	KLHL15	23986969	0.273856087415409	58	0.43534315823804	57	0.00567646269628768	0.0385507664302304	0.0269094411940081
59	KLHL15	23987112	0.274506974506974	40	0.402068302068302	39	0.0517617325301879	0.0135798115263938	0.0560405143449171
60	LOC389906	3821036	0.73641456582633	15	0.705291005291005	18	0.81173240633657	0.119641950279749	0.172836176766695
61	LOC389906	3821545	0.532587507415883	20	0.55475040257649	22	0.745770687566806	0.0940377371510714	0.0543522989750006
62	LOC389906	3821686	0.53219696969697	20	0.525335076822491	23	0.942691399473929	0.141969676756895	0.0465915927566644
63	MED14	40650141	0.340892882613037	47	0.394038423450188	31	0.603870880345076	0.0766600323965079	0.140252954825855
64	MID1IP1-AS1	38801836	0.278088578088578	53	0.4715775068873	51	0.0645241165179227	0.0197833309023019	0.0938197463586364
65	MID1IP1-AS1	38802863	0.295183832250107	220	0.400165143711935	209	0.0510776847222921	0.0444782052040215	0.0484837454818656
66	MID1IP1	38801836	0.278088578088578	53	0.4715775068873	51	0.0645241165179227	0.0197833309023019	0.0938197463586364
67	MID1IP1	38802863	0.295183832250107	220	0.400165143711935	209	0.0510776847222921	0.0444782052040215	0.0484837454818656
68	MORF4L2	103681578	0.331150793650794	28	0.373070736054954	30	0.656570326749221	0.043579938886123	0.137198861501026
69	MORF4L2	103683890	0.384334975369458	27	0.417272136570382	34	0.729765790270578	0.124319712084152	0.0889125161978102
70	MSL3	11766227	0.337301587301587	18	0.368640350877193	18	0.656900136891048	0.0893518273745849	0.0687502623179752
71	MSL3	11767314	0.314413484692122	18	0.300682261208577	16	0.789217219403983	0.0196440200003704	0.076671959825782
72	MTMR1	150764048	0.333914306463326	30	0.483990147783251	36	0.159498616787825	0.0599648549665834	0.124138772683744
73	MTMR1	150764230	0.430712365591398	29	0.530225335837065	31	0.256234044886072	0.10571907299162	0.0705664689856208
74	MTMR1	150764868	0.408538011695906	25	0.577536231884058	24	0.284569125736601	0.153809263122825	0.179348924019476
75	NBDY	56817338	0.0843512767425811	35	0.0209137709137709	30	0.105233839135561	0.042192372213543	0.0186254255320544
76	NKAP	119922366	0.398717381689518	17	0.489262371615313	14	0.509037742301445	0.0624969128978449	0.193547761362301
77	NLGN4X	5890820	0.205738705738706	20	0.21479641131815	23	0.914673710215196	0.1214098313891	0.0570720197852032
78	NLGN4X	5892533	0.135416666666667	28	0.159298245614035	25	0.779988276803608	0.126295371385231	0.0400184629596723
79	NSDHL	152850288	0.31912532412893	54	0.378383838383838	53	0.136110651615623	0.0320028072537166	0.0434352830530266
80	NUP62CL	107132065	0	153	0.00343642611683849	119	0.422649730810374	0	0.00595206463082088
81	PCSK1N	48832245	0.149603174603175	17	0.295108695652174	20	0.284338940809791	0.0356414601416379	0.174816775537852
82	PDHA1	19354443	0.524790236460717	20	0.45	21	0.351086421448634	0.105296316867963	0.05
83	PIGA	15331876	0.42683132342602	87	0.406091141389243	45	0.690676866230546	0.0763844845842144	0.0232460024121085
84	PIN4	72204868	0.27961943853449	100	0.385185185185185	75	0.199685394750186	0.040645861201319	0.09958762710925
85	POLA1	24996667	0.271855220391173	141	0.342983984222699	165	0.141049634715279	0.0194798629783963	0.0545229395485671
86	PUDP	7049925	0.40176169779453	147	0.445066915655151	118	0.193999843819786	0.0401353517057037	0.0168153659000811
87	RBM3	48579289	0.392176382047072	74	0.465038011371907	108	0.365097601377174	0.0871455178384662	0.0877037465067704
88	RBM41	107065063	0.332314814814815	20	0.507878787878788	19	0.139272500299034	0.10365255848583	0.126508528224379
89	RBM41	107087477	0.264619438532482	19	0.25462962962963	15	0.946270750762633	0.0717274875790496	0.220625047360071
90	RBM41	107087743	0.182957393483709	16	0.271372549019608	17	0.275607008703252	0.0996299709789522	0.0631506501440021
91	RBM41	107088152	0.320768067144879	24	0.423944476576055	20	0.308047900626504	0.0258620638029115	0.132279704337914
92	RPL39	119786942	0.307017543859649	17	0.485739750445633	15	0.181788359464886	0.159304742312842	0.0679761674355378
93	RPL39	119787630	0.23986013986014	23	0.348076923076923	22	0.105295598988278	0.0549385156402863	0.0694174832606925
94	RPL39	119787708	0.396672034353194	24	0.481578947368421	19	0.143946302343891	0.0444611666986126	0.0648351841829207
95	RPL39	119788472	0.364718614718615	24	0.433687363834423	22	0.624485251401362	0.17937638329412	0.134514155128739
96	RPL39	119788780	0.340155945419103	19	0.42356629172045	19	0.457793023656859	0.0422039670460253	0.157072679704334
97	RPL39	119788935	0.383709587513935	17	0.514155982905983	20	0.4397247946925	0.209059397333758	0.156970178997684
98	RPL39	119791218	0.329166666666667	20	0.43841642228739	23	0.267545474654852	0.122686932202795	0.0691329925755207
99	RPL39	119791487	0.263765182186235	17	0.293290043290043	19	0.618065986133705	0.07536429362934	0.0564536855227055
100	RPS4X	72273841	0.479799105655233	1463	0.512260137713699	1405	0.0526410256406683	0.00806413295310975	0.0159790610693443
101	RTL8A	135051967	0.0667573696145125	81	0.165006868131868	69	0.0366992734896183	0.0168846406117996	0.040312994234503
102	RTL8B	135020946	0	17	0.0984848484848485	17	0.328682886657381	0	0.133169665388234
103	SH3BGRL	81297730	0.0392813535670679	53	0.0344827586206897	34	0.90659307217367	0.0242755939191509	0.0597258899161682
104	SHROOM2	9895209	0.310109959170865	158	0.344412570918595	105	0.591377410399812	0.0738938547290787	0.0702320255869808
105	SLC25A43	119453358	0.232084165639565	91	0.42372202529886	94	0.039892109695577	0.0685783990308682	0.00307583331593373
106	SLC25A43	119453410	0.18543771043771	73	0.407554200542005	75	0.0119525549925498	0.0525509439240512	0.0168222012641831
107	SMC1A	53380007	0.507315541940469	457	0.519296728122225	434	0.541866222162066	0.00159080607950823	0.028458445179527
108	SMC1A	53422619	0.431568979266348	38	0.400651562797789	39	0.591793302081974	0.0760746291653612	0.0495172667721561
109	SMIM10L2A	135424194	0.331743806875496	258	0.368698897324161	196	0.165574163631941	0.0218967496842496	0.0298842575216368
110	SMIM10L2A	135426135	0.277849133537207	122	0.318727461838714	101	0.297643234701817	0.0424169751460395	0.0412670207024638
111	SMIM10L2A	135427033	0.230641873988303	112	0.307250470809793	83	0.0279569278472111	0.0263851137447538	0.00854179244533077
112	STS	7351441	0.489572231213569	47	0.508770939205722	27	0.816120575516836	0.111246194258115	0.0719131391756889
113	SYAP1	16762273	0.324466142732397	86	0.385633436005309	94	0.202132539803742	0.0579281592470535	0.0288279263896304
114	SYAP1	16763598	0.457254901960784	28	0.583583959899749	38	0.124557102148114	0.0891740907127211	0.0644540439334356
115	TAF1	71464719	0.202282478851264	118	0.262988438744778	113	0.233149352091913	0.0450088341300238	0.05877880021937
116	TBC1D25	48559811	0.365873908283953	132	0.474994644994645	106	0.00100065340619948	0.0157361247670962	0.0152771625120588
117	TBL1X	9718147	0.408418367346939	54	0.456193853427896	44	0.559204221735791	0.0259189197273614	0.118193491317994
118	TCEAL4	103587113	0.0812812695434647	52	0.195959595959596	30	0.200299697275784	0.0109600161064142	0.105858393091042
119	TFE3	49030563	0.192043549768537	73	0.357027567529276	68	0.0234466500772805	0.01035923088787	0.048444541062745
120	TMSB4X	12976131	0.371509971509972	40	0.430081300813008	32	0.327304112137778	0.067544804616467	0.0607475409535696
121	TRMT2B	101010563	0.199055234287618	39	0.260912698412698	41	0.207253802684257	0.0434940595830942	0.0555020292030284
122	TSPAN6	100629831	0.246520047412905	195	0.377606050450283	172	0.00893065583686774	0.0193243197911266	0.0342103291969503
123	TXLNG	16842011	0.447874146132782	246	0.490888290492673	205	0.319447459971468	0.0391888518055	0.0517593443502479
124	TXLNG	16842790	0.468521532747882	316	0.539249225481275	269	0.0494272059991655	0.027081223970803	0.0336066591798112
125	TXLNG	16843370	0.468632376395534	289	0.506100343620262	230	0.228052771656145	0.0285764932708594	0.0351451742735654
126	TXLNG	16843467	0.427454509111947	244	0.48478155831097	212	0.201620635441108	0.0234350887582987	0.054396940094872
127	TXLNG	16843978	0.466865116154757	183	0.478797811896403	144	0.802401055849891	0.0207128691713496	0.0708734607460732
128	UBL4A	154485912	0.374452582326895	165	0.435988085519721	195	0.103233991748514	0.00247133147687425	0.0373238635285161
129	UPF3B	119834106	0.35328798185941	48	0.391997354497355	47	0.548092904497217	0.0405965359683168	0.08968085696319
130	UPF3B	119834228	0.363080185985806	46	0.466244527829894	49	0.0517835928379823	0.0479702400712807	0.043787642297531
131	UXT	47655674	0.408802308802309	30	0.492592592592593	27	0.279964283300739	0.0988931959006716	0.0449050209369709
132	UXT	47655859	0.436282530777622	26	0.455066782810685	28	0.772801064666752	0.0980227149932689	0.0152195134248977
133	VMA21	151405927	0.184640927904965	151	0.225454423200011	161	0.159516770913184	0.0336428791047294	0.0183664340354081
134	VMA21	151407126	0.222961049453587	237	0.281956112387601	242	0.107654546830911	0.0112871186924958	0.0385009986641049
135	WDR44	118346197	0.225801169590643	120	0.400556829348182	101	0.00528036736239132	0.00888664175966633	0.0287462658232357
136	WDR44	118394093	0.153741842529028	26	0.383333333333333	25	0.0434461254964964	0.0955236379515018	0.0288675134594813
137	XIST	73844076	0.0124594640723673	114	0.0149528410397976	81	0.825795356851726	0.0111516615285336	0.014514646012742
138	ZBTB33	120256111	0.147924604446344	88	0.371047540239217	112	0.00816412938466041	0.0263579206678105	0.0535673576449987
139	ZDHHC9	129805719	0.312642478948088	259	0.397090583035589	265	0.0315987621275945	0.0295509792758836	0.00778175907704596
140	ZFX	24214987	0.462564102564103	25	0.448412698412698	19	0.885855526006326	0.146931802667457	0.045070701157145
141	ZNF280C	130203580	0.162971175166297	33	0.307777777777778	40	0.0480011179431004	0.0101272650451181	0.0592858736531293
142	ZNF280C	130204792	0.13764367816092	27	0.310135240775485	37	0.00435970918150087	0.0125024769642569	0.0301809503994253
143	ZNF75D	135286075	0.522540983606557	51	0.493588546529723	38	0.727681237339227	0.0932545922375636	0.0965418683525091
144	ZNF75D	135286096	0.583950617283951	51	0.505952380952381	37	0.413770325939281	0.0892418404191108	0.116951789590563
145	ZNF75D	135286291	0.477756286266925	82	0.595477680433876	58	0.0580829069745465	0.022742700224961	0.0583569562953386
146	ZNF75D	135286670	0.531691919191919	58	0.488508917080346	38	0.531413782931227	0.0824682485207501	0.0714436546553221
147	ZNF75D	135336662	0.500658761528327	19	0.48997668997669	20	0.892740091659815	0.0582696821804901	0.111978401797991
148	ZNF75D	135343688	0.516925527678216	57	0.524189189189189	42	0.807951968485026	0.0161879244019933	0.0437894140524091
149	ZNF81	47915200	0.37973137973138	24	0.432595403752899	21	0.558874999822491	0.130568654896879	0.0297496343925168
